Product Code,Description,Main,price,Brand,Category Code,Supplier Product Code
ADS-TBCYBERTBL-W9,"Adesso 8""*5"" Wireless Widescreen Graphic Tablet",0,256.6,ADESSO,MICE - USB,CyberTabletW9
ADS-TF-P200,Adesso Memory Foam Mouse Pad with Wrist Rest (Carton Qty 10),30,19.6,ADESSO,MICE - Mouse Pad,TRUFORM P200
ADS-TF-P300,Adesso TruForm Moemory Form keyboard Wrist Rest (Carton QTY 10),30,28.5,ADESSO,MICE - Mouse Pad,TRUFORM P300
AKB-232UB,Adesso SlimTouch 232 Antimicrobial Waterproof Flex Keyboard (Full Size),0,32,ADESSO,KEYBOARDS - USB,AKB-232UB
AKB-410UB,Adesso SlimTouch Mini Keyboard USB with TouchPad Black,3,103.1,ADESSO,KEYBOARDS - USB,AKB-410UB
AKB-440UB,Adesso SlimTouch Desktop USB Keyboard with Touchpad Black,0,103.1,ADESSO,KEYBOARDS - USB,AKB-440UB
ALL-POWERCUBE-5300,"ALLOCACOC POWERCUBE Extended Red-5 Outlets, 1.5M",30,20.9,ALLOCACOC,POWER BOARD,5320RD/AUEXPC
ALL-POWERCUBE-5304,"ALLOCACOC POWERCUBE Extended Red-5 Outlets, 3M",26,25.5,ALLOCACOC,POWER BOARD,5304RDL/AUEXPC
ALL-POWERCUBE-5400,ALLOCACOC POWERCUBE Extended USB Grey 4-Outlets with 2-USB,30,29,ALLOCACOC,POWER BOARD,5420GY/AUEUPC
ALL-POWERCUBE-5404,"ALLOCACOC POWERCUBE Extended 4 Outlets with 2 USB, 3M - Grey",0,32.5,ALLOCACOC,POWER BOARD,5404GY/AUEUPC
ALL-POWERCUBE1891-PR,ALLOCACOC POWERCUBE  rewirable 3 plug + 2 USB,16,32.5,ALLOCACOC,POWER BOARD,1891/AURU3P
ALL-POWERCUBE52-GY,ALLOCACOC POWERCUBE OUTLET X 2 USB X 2 sugre Grey,29,22,ALLOCACOC,POWER BOARD,5220GY/AUOUPC
ALL-POWERCUBE53-GN,"ALLOCACOC POWERCUBE Extended Outlets, 1.5M - Green (0039)",30,19.7,ALLOCACOC,POWER BOARD,5320GN/AUEXPC
ALL-POWERCUBE53-GRY,"ALLOCACOC POWERCUBE Extended Outlets, 1.5M - Grey (0015)",29,20.9,ALLOCACOC,POWER BOARD,5320GY/AUEXPC
ALL-POWERCUBE5304-GY,"ALLOCACOC POWERCUBE Extended 5 Outlets, 3M – Grey",30,25.5,ALLOCACOC,POWER BOARD,5304/AUEXPCGREY
ALL-POWERCUBE54-BK,ALLOCACOC POWERCUBE Extended Outlets with USB 1.5M - BLACK,30,29,ALLOCACOC,POWER BOARD,5420BK/AUEUPC
ALL-POWERCUBE54-BL,ALLOCACOC POWERCUBE Extended Outlets with USB 1.5M - Blue (0114),30,29,ALLOCACOC,POWER BOARD,5420BL/AUEUPC
ALL-POWERCUBE54-GN,ALLOCACOC POWERCUBE Extended Outlets with USB 1.5M - Green (0091),30,29,ALLOCACOC,POWER BOARD,5420GN/AUEUPC
ALL-POWERCUBE54-RD,ALLOCACOC POWERCUBE Extended Outlets with USB 1.5M - Red (0077),30,29,ALLOCACOC,POWER BOARD,5420RD/AUEUPC
ALL-POWERCUBE54-WH,Allocacoc POWERCUBE Extended USB WHITE-4 Outlets-2 USB 1.5m,0,29,mbeat,CABLES,5400/AUEUPC/WHITE
ALL-POWERCUBE5404-BL,ALLOCACOC POWERCUBE Extended 4 Outlets with 2 USB 3M - Blue,7,32.5,ALLOCACOC,POWER BOARD,5404/AUEUPCBLUE
ALL-POWERCUBE5404-GN,ALLOCACOC POWERCUBE Extended 4 Outlets with 2 USB 3M - Green,28,32.5,ALLOCACOC,POWER BOARD,5404/AUEUPCGREEN
ALL-POWERCUBE5404-RD,ALLOCACOC POWERCUBE Extended 4 Outlets with 2 USB 3M - Red,23,32.5,ALLOCACOC,POWER BOARD,5404/AUEUPCRED
ASA-STG-S146H00,Aerocool ASA S146H00 2.5 HDD Enclosure w/ 3 Port USB HUB,4,53.7,Aerocool,Storage Case,ACAG-S146H00-11
ASA-TPS-1A3U2,"Aerocool ASA PT1A3U2 Aluminum PowerStrip w/ 1 Outlet, 1 TypeC 5V/3.0A , 2 USB 5/2.4A Charging Port",2,88.5,Aerocool,POWER BOARD,ACAS-PT1A3U2.31
AV-TIS2017OEM,Trend Micro Internet Security (1-3 Devices) 1 Year OEM (No CD Media),30,17,Trend Micro,SOFTWARE,TICIWWMFXSBXEO
AV-TISOEM-1U,Trend Micro Internet Security OEM 1 User 1 Year (No CD Media),0,13.9,Trend Micro,SOFTWARE,TICIWWMBXSBWAO
AV-TISRB2016-2U,Trend Micro Internet Security 2 Users 1 Year for MAC & PC Retail,2,28.8,Trend Micro,SOFTWARE,TICIWWM9XSBJEF
AV-TMAX2017OEM-2U,Trend Micro Maximum Security (1-2 Devices) 1Yr Subscription Add-On,30,26.9,Trend Micro,SOFTWARE,TICEWWMFXSBJEO
AVI-HDMI8P,8 in/1 out  HDMI Video Switch Support Full HD 1080p,3,151.1,8WARE,VIDEO PRODUCTS,AVI-HDMI8P
AVM-C281,"AVerMedia Game Capture HD Standalone Device, Compatible with Xbox 360, PS3, and Wii",1,188,AVerMedia,Audio and Visual Products,C281
BB-PLAYTRACE,Boogie Board Play & Trace LCD eWriter,0,63.7,Boogie Board,MobilePhone/Tablet Accessories,PL0360002
BD-400,8ware Mini USB Bluetooth Adapter Version 4.0,30,14.6,8WARE,ACCESSORIES,BD-400
BL-C3B,BlueEye Universal and Adjustable Double Arm Stand Holder - Black,3,90.4,BLUEYE,CABLES - Display Rack,BL-C3B
BL-C3W,BlueEye Universal and Adjustable Double Arm Stand Holder - white,6,90.4,BLUEYE,CABLES - Display Rack,BL-C3W
BL-K1B,BLUEYE 3-IN-1 IPAD tablet laptop stand black,0,60.7,BLUEYE,CABLES - Display Rack,BL-K1B
BL-K1W,BLUEYE 3-IN-1 IPAD tablet laptop stand white,8,60.7,BLUEYE,CABLES - Display Rack,BL-K1W
BT-AMS-2,Height-Adjustable Smart Stand XL with Drawer for most 13-32 Monitors and other Machines,30,53.6,LUMI,ACCESSORIES,AMS-2
BT-AMS-5L,Height-Adjustable Smart Cart XL with Three-Shelves and Drawer  13-32 Monitors,0,74.4,LUMI,ACCESSORIES,BT-AMS-5L
BT-AR-2,Deluxe Aluminium Desktop Stand for most 11-17 Laptops,30,68.7,LUMI,ACCESSORIES,AR-2
BT-B201-GRY,Ergonomical Height Adjust kid desk and chair set- Grey,13,675.4,LUMI,ACCESSORIES,B201-GRY
BT-B201-PNK,Ergonomical Height Adjust kid desk and chair set- Pink,0,229,LUMI,ACCESSORIES,B201-PNK
BT-CB100A,"CCTV Camera Adjustable Wall Mount Bracket for Indoor and Outdoor, Up to 15Kgs loading",20,26.9,LUMI,SURVEILLANCE CAMERA,CB-400A
BT-CM01-1,PVC Chair Mat,30,32.4,LUMI,ACCESSORIES,CM01-1
BT-CPB-1,CMT-1 Adjustable Multifunctional Thin Client Mount (work for NUC PC and other Mini CPUs),0,28.6,LUMI,ACCESSORIES,CMT-1
BT-DTM21-02,Dual Monitor Sit-Stand Workstation Compatible Monitor Arm,10,105.3,LUMI,ACCESSORIES,DTM21-02
BT-DTM23-C012,"Single monitors aluminum heavy-duty Gas Spring Monitor Arm for 17""-35""",30,105.3,LUMI,Monitor,BT-DTM23-C012
BT-DTM23-C024,"Dual monitors aluminum heavy-duty Gas Spring Monitor Arm for 17""-35""",30,182,LUMI,Monitor,BT-DTM23-C024
BT-DTM33-C024,DUAL MONITORS AFFORDABLE STEEL ARTICULATING MONITOR STAND 13’’-32’’,30,74.4,LUMI,ACCESSORIES,BT-DTM33-C024
BT-DTM34-C012,"Gas Spring Single Aluminum Monitor Arm for 17""-32""",30,79,LUMI,ACCESSORIES,DTM34-C012
BT-DTM34-C024,"Gas Spring Dual Aluminum Monitor Arm for 17""-32""",30,124.8,LUMI,ACCESSORIES,BT-DTM34-C024
BT-DTM49-C012,SINGLE MONITOR PREMIUM SLIM ALUMINUM SPRING-ASSISTED MONITOR ARM,17,90.4,LUMI,MobilePhone/Tablet Accessories,DTM49-C012
BT-DTM49-C024,DUAL MONITORS PREMIUM SLIM ALUMINUM SPRING-ASSISTED MONITOR ARMS,0,159.1,LUMI,MobilePhone/Tablet Accessories,DTM49-C024
BT-DTM49-C024B,DUAL MONITORS PREMIUM SLIM ALUMINUM SPRING-ASSISTED MONITOR ARMS - BLACK,30,159.1,LUMI,MobilePhone/Tablet Accessories,DTM49-C024B
BT-DVD-20,"Universal DVD Bracket, Black",30,30.1,LUMI,Audio and Visual Products,DVD-20
BT-DWS01-C02,"Single Monitor Sit-Stand Workstation. Fit for most 13""-27"" LCD monitors and screens",30,128.2,LUMI,Audio and Visual Products,SWS01-C02
BT-FS08-44T,"FS08-44T Tilting TV Mount with Portable Tripod Stand 32""-55"", 35KG max, VESA200x200,300x300,",30,71,LUMI,Audio and Visual Products,TT08-44T
BT-HPS01-1,Headphone Stand,30,44.5,LUMI,ACCESSORIES,BT-HPS01-1
BT-LCD-504A,"LCD Ceiling Bracket Vesa 50/75/100/200m up to 37""",0,23.6,LUMI,Audio and Visual Products,LCD-504A
BT-LCD-LDTBASE,Desk Stand For LCD-LDT Bracket Range,30,43.5,LUMI,Audio and Visual Products,LCD-LDTBASE
BT-LCD201,2 Piece LCD Wall Mount Vesa 75mm/100mm up to 33 Kg,30,10.1,LUMI,VIDEO PRODUCTS,LCD-201
BT-LCDT9,Dual (2) LCD Monitor Table Stand w/Arm & Desk Clamp Up to 23 Black,30,84.6,LUMI,VIDEO PRODUCTS,LCD-T9
BT-LDA18-222,"Aluminum Articulating Wall Mounts. Fit for most 13""-42"" LED, 3D LED, LCD, Flat Panel TVs",6,46.9,LUMI,Audio and Visual Products,LDA18-222
BT-LDT02-C012,"Single Flexi Arm Monitor Mount Up to 27""",30,66.4,LUMI,Audio and Visual Products,LCD-LDT02-C012
BT-LDT02-C024,"Elegant Dual LCD Monitor Flexi Arm Table Stand w/Arm & Desk Clamp VESA 75/100mm Up to 24""",30,69,LUMI,Audio and Visual Products,LCD-LDT02-C024
BT-LDT02-T02,Free Standing Dual Horizontal LCD Monitors Stand from 13-24’’,30,89.9,LUMI,Audio and Visual Products,LDT02-T02
BT-LDT06-C02,"Outstanding Dual LCD Desk Mounts with Desk Clamp VESA 75/100mm Up to 27""",0,89.3,LUMI,ACCESSORIES,LDT06-C02
BT-LDT06-C03,"TV desk mount, black+silver. Fit for most 13""-27"" LCD monitors and screens",30,129.4,LUMI,Audio and Visual Products,LDT06-C03
BT-LDT08-T01,"Essential Single Monitor Desktop Stand. Fit for most 13""-27"" LCD monitors and screens",0,55,LUMI,Audio and Visual Products,LDT08-T01
BT-LDT08-T02,Curved Horizontal Rail Dual Monitor Array Desktop Stand.,1,79,LUMI,Audio and Visual Products,LDT08-T02
BT-LDT10-C012,Single Aluminium Interactive Counterbalance Single Monitor Arm 13’’-32’’,30,89.3,LUMI,ACCESSORIES,LDT10-C012
BT-LDT10-C024,Dual Aluminum Interactive Counterbalance Monitor Arm for most 13-32 LCD Monitors,30,112.2,LUMI,ACCESSORIES,DTM10-C024
BT-LDT11-C012,"Aluminum LCD VESA Desk Mounts for LCD Screen Size 13""-27""",30,66.4,LUMI,Audio and Visual Products,LDT11-C012
BT-LDT11-C024,"Aluminum LCD VESA Desk Mounts for LCD Screen Size 13""-27"" (dual)",30,86.5,LUMI,Audio and Visual Products,LDT11-C024
BT-LDT12-C024N,Economy Dual Monitor Steel Monitor Arm 13’’-32’’,30,65.3,LUMI,ACCESSORIES,LDT12-C024N
BT-LDT12-C048N,Economy Quad Monitor Steel Monitor Arm 13´+¢´+¢-32´+¢´+¢,30,97.3,LUMI,ACCESSORIES,DTM12-C048N
BT-LDT16-C024,"Gas Spring Dual Monitor Arm for 17""-32""",30,124.8,LUMI,ACCESSORIES,LDT16-C024
BT-LP42-44DT,"TV bracket. Fit for most 32""-55"" LED, 3D LED, LCD, Plasma TVs",30,28.6,LUMI,Audio and Visual Products,TV42-44DT
BT-LP59-48T,Anti-theft Heavy-duty Tilting Curved & Flat Panel TV Wall Mount,0,57.2,LUMI,ACCESSORIES,LP59-48T
BT-LPA35-442,"Aluminum Slim Sliding Full-Motion TV Wall Mount For most 23""-55"" LED, LCD Flat Panel",30,79.5,LUMI,Audio and Visual Products,LPA35-442
BT-LPA36-466,"Economy Solid Full Motion TV Wall Mount for 37""-70"" LED, LCD Flat Panel TVs",30,80.1,LUMI,ACCESSORIES,LPA36-466
BT-LRS01-BS,Racing Simulator Cockpit Seat,30,566.7,LUMI,Gaming Chair,LRS01-BS
BT-LRS01-GR,Gear Shifter Mount,0,45.8,LUMI,Gaming Chair,LRS01-GR
BT-LRS01-SR01,Single Monitor Stand,28,137.4,LUMI,Gaming Chair,LRS01-SR01
BT-LRS01-SR02,triple Monitor Stand,19,183.2,LUMI,Gaming Chair,LRS01-SR02
BT-LRS02-BS,GS02-BS Racing Simulator Cockpit Seat,30,566.7,LUMI,Gaming Chair,LRS02-BS
BT-LRS02-SR01,Single Monitor mount,0,79,LUMI,Gaming Chair,LRS02-SR01
BT-LRS02-SR02,Triple Monitor mount,4,136.2,LUMI,Gaming Chair,LRS02-SR02
BT-LVW03-46T,"Pop-Out Video Wall Mount For most 45""-70"" LED, LCD flat panel TVs",4,227.8,LUMI,ACCESSORIES,DSM03-46T
BT-MA06-23R,3-Stage Reverse Dual Motor Electric Sit-Stand Desk Frame with 180 x 76 cm table top,12,571.3,LUMI,ACCESSORIES,BT-MA06-23R
BT-MA07-22D-BL,"COMPLETE SINGLE MOTOR SIT-STAND DESK WITH DESKTOP(55.1""X23.6"" )",0,445.3,LUMI,MobilePhone/Tablet Accessories,MA07-22D-BL
BT-MAC-A,"iMac VESA Mount Adapter for 24"" & 27"" iMac",0,32.2,LUMI,Audio and Visual Products,MABT-MAC-A
BT-MI-10201,Ergonomical Height Adjust kid desk and chair set- Grey,30,675.4,LUMI,ACCESSORIES,MI-10201
BT-MPS06-1,MPS06-1 PROFESSIONAL MICROPHONE BOOM ARM STAND,30,80.1,LUMI,Audio and Visual Products,BT-MPS06-1
BT-MPS07-1,MPS07-1 Condenser Microphone and Clamp-On Mic Boom Arm Stand Bundle,30,57.2,LUMI,Audio and Visual Products,BT-MPS07-1
BT-MTV63-466,"Economy Solid Full Motion TV Wall Mount for 37""-80"" LED, LCD Flat Panel TVs",30,63,LUMI,Audio and Visual Products,BT-MTV63-466
BT-N02-22D-GB,Manual Height Adjustable Gaming Desk,12,548.4,LUMI,ACCESSORIES,N02-22D-GB
BT-PAD12-01AL,"Wall Mount Anti-Theft Secure Enclosure foriPad2,3,4,Air&Air2 with Lock and Key–Black",30,36.6,LUMI,MobilePhone/Tablet Accessories,PAD12-01AL
BT-PAD12-04AL,Anti-Theft Secure Enclosure Countertop Stand iPads - Black with Adjustable Height Function,30,63,LUMI,MobilePhone/Tablet Accessories,BT-PAD12-04AL
BT-PAD26-02,Anti-theft Steel Countertop Kiosk,11,67.5,LUMI,Audio and Visual Products,PAD26-02
BT-PAD26-02LP,"Anti-theft Steel Countertop Kiosk STAND FOR 12.9"" Ipad pro (gen3)",30,67.5,LUMI,Audio and Visual Products,BT-PAD26-02LP
BT-PAD5-04A,Universal Floor Stand for iPads and Samsung Galaxy and other tablets (Black),3,79,LUMI,ACCESSORIES,PAD5-04A
BT-PENC26-02N,PENC26-02N Anti-theft Steel Countertop Kiosk for 9.7/10.2/10.5 IPAD,30,67.5,LUMI,Audio and Visual Products,PENC26-02N
BT-PKDA80,"Economy 80"" Tripod Projector Screen Black 16:9",26,112.2,LUMI,Audio and Visual Products,PKDA80
BT-PLB43,"Plasma/LCD TV Ultra-Slim Tilting Wall Bracket w/ spirit-level up to 70""",30,51.5,LUMI,Audio and Visual Products,PLB-43
BT-PRB1,Projector Ceiling Mount Bracket Black up to 10kg,30,32.2,LUMI,VIDEO PRODUCTS,PRB-1
BT-PSAA135,"RPS135 135"" (3Mx1.68M) Electric Projector Screen (16:9 ratio)",25,301.9,LUMI,Audio and Visual Products,RPS135
BT-PSDA65,"65"" (1.45m x 0.81m) Tripod Portable Projector Screen (16:9 ratio) Black",24,90.4,LUMI,Audio and Visual Products,PSDA65
BT-STB-062,Universal Tabletop Monitor Riser,30,22.9,LUMI,Audio and Visual Products,STB-062
BT-STB-071,Deluxe Desktop Laptop Adjustable Raiser,30,40.1,LUMI,CABLES - Display Rack,STB-071
BT-STB-072,Deluxe Desktop Monitor/Laptop Adjustable Raiser,30,44.7,LUMI,CABLES - Display Rack,DRS-072
BT-STB-143,Universal Tabletop Monitor Riser with drawer,30,37.8,LUMI,Audio and Visual Products,STB-143
BT-TP18075W,1800X750MM PARTICLE BOARD DESK BOARD White,30,113.3,LUMI,ACCESSORIES,TP18075W
BT-TT22-44TW,COMPACT HEIGHT ADJUSTABLE STEEL TV CART (1020-1320MM/40.2-52),30,137.4,LUMI,Audio and Visual Products,BT-TT22-44TW
BT-TTV04-46TW,"TT04-46TW mobile TV Cart with Roller for LCD Screen Size 37"" – 70"" 50KG",11,377.8,LUMI,Audio and Visual Products,TT04-46TW
BT-TTV1040,VERSATILE & COMPACT STEEL TV CART,30,132.8,LUMI,ACCESSORIES,TTV1040
BT-XC-1,Mobile CPU Holder – Black,30,24.1,LUMI,ACCESSORIES,XC-1
BT-XC-7,CPU Holder Under Desk Mount – Black,30,68.5,LUMI,ACCESSORIES,XC-7
BT-XC-7SLV,CPU Holder Under Desk Mount – Silver,17,68.5,LUMI,ACCESSORIES,XC-7SLV
CA-1E7-00M1WN-05,Thermaltake Core P5 V2 Black Edition Tempered Glass Mid Tower Open Frame Case,2,322.1,THERMALTAKE,PC CASES,CA-1E7-00M1WN-05
CA-1E7-00M9WN-00,Thermaltake CORE P5 TI EDITION,7,322.1,THERMALTAKE,PC CASES,CA-1E7-00M9WN-00
CA-1V1-00S1WN-00,Thermaltake Divider 200 TG/Black/Win/SPCC/Tempered Glass*3/200mm Standard Fan*1/120mm Standard Fan*1,2,189,THERMALTAKE,Cooling - Cooling Fan,CA-1V1-00S1WN-00
CA-1V1-00S6WN-00,Thermaltake Divider 200 TG Snow/White/Win/SPCC/Tempered Glass*3/200mm Standard Fan*1/120mm Standard Fan*1,3,189,THERMALTAKE,Cooling - Cooling Fan,CA-1V1-00S6WN-00
CA-1V2-00M1WN-00,Thermaltake Core P6 TG /Black/Wall Mount/SPCC/4mm Tempered Glass*3,3,362.7,THERMALTAKE,PC CASES,CA-1V2-00M1WN-00
CA-1V2-00M6WN-00,Thermaltake Core P6 TG Snow/White/Wall Mount/SPCC/4mm Tempered Glass*3,3,362.7,THERMALTAKE,PC CASES,CA-1V2-00M6WN-00
CASE-A500,Thermaltake A500 Aluminum Tempered Glass Edition Mid Tower Case,0,467.4,THERMALTAKE,PC CASES,CA-1L3-00M9WN-00
CASE-AH-T200-BK,Thermaltake AH T200 BlackTempered Glass Case,17,277.2,THERMALTAKE,PC CASES,CA-1R4-00S1WN-00
CASE-AH-T200-PNK,Thermaltake AH T200 Pink Tempered Glass Case,23,308.1,THERMALTAKE,PC CASES,CA-1R4-00SAWN-00
CASE-AH-T200-WH,Thermaltake AH T200 Snow Tempered Glass Case,15,277.2,THERMALTAKE,PC CASES,CA-1R4-00S6WN-00
CASE-AH-T600-BK,Thermaltake AH T600 Black Edition Tempered Glass E-ATX Full Tower Case,8,452.4,THERMALTAKE,PC CASES,CA-1Q4-00M1WN-00
CASE-AH-T600-WH,Thermaltake AH T600 Snow Edition Tempered Glass E-ATX Full Tower Case,7,452.4,THERMALTAKE,PC CASES,CA-1Q4-00M6WN-00
CASE-ANT-DARKCUBE,Antec Dark Cube MATX case with dual front Panel Aluminum Alloy Body,4,357.1,Antec,PC CASES,0-761345-80034-1
CASE-ANT-DF600FLUX,Antec DF600 Flux RGB ultimate thermal performance for gaming case,19,131.7,Antec,PC CASES,07-761345-80060-0
CASE-ANT-DF700FLUX,Antec DF700 Flux RGB ultimate thermal performance for gaming case,10,138,Antec,PC CASES,0-761345-80070-9
CASE-ANT-DF800FLUX,Antec DF800 FLUX Gaming Case,1,148.1,Antec,PC CASES,0-761345-80081-5
CASE-ANT-DP301M,Antec DP301M RGB micro tower case,30,74.2,Antec,PC CASES,0-761345-80020-4
CASE-ANT-DP501,Antec DP501 RGB mid tower case,8,103.2,Antec,PC CASES,0-761345-80019-8
CASE-ANT-DP501WH,Antec DP501 RGB mid tower case white,9,114.9,Antec,PC CASES,0-761345-81105-7
CASE-ANT-DP502FLUX,Antec DP502 Flux performance gaming case,29,138,Antec,PC CASES,0-761345-80050-1
CASE-ANT-DP502FLUX-WH,Antec DP502 Flux performance gaming case white,0,133.8,Antec,PC CASES,0-761345-80051-8
CASE-ANT-NX310,Antec NX310 mid tower case,0,98.5,Antec,PC CASES,CASE-ANT-NX310
CASE-ANT-NX320,Antec NX320 Mid Tower Gaming Case /w ARGB FAN X 3,0,84.5,Antec,PC CASES,0-761345-81035-7
CASE-ANT-NX400,Antec NX400 RGB  tower case,30,91.6,Antec,PC CASES,0-761345-81040-1
CASE-ANT-NX410,Antec NX410 Mid Tower Gaming Case /w ARGB FAN X 3,30,92.4,Antec,PC CASES,0-761345-81041-8
CASE-ANT-NX700,Antec NX700 Gaming Case,7,148.1,Antec,PC CASES,0-761345-81072-2
CASE-ANT-NX800,Antec NX800 gaming RGB case,0,146.1,Antec,PC CASES,0-761345-81080-7
